name,link,city,price,bedroom,bathroom,parkingarea,surfacearea,buildingarea
Bonus Furnished - Rumah 2 Lantai Murah Terdekat Stasiun Kereta Api Di Depok,https://www.rumah123.com/properti/depok/hos8408068/,Depok,791 Juta,3,2,1,72,89
Rumah 2 Lantai Murah Nyaman Terdekat Stasiun Kereta di Depok,https://www.rumah123.com/properti/depok/hos8988647/,Depok,793 Juta,3,2,1,72,88
Rumah 2 Lantai Termurah Terdekat Stasiun Kereta di Pancoran Mas Depok,https://www.rumah123.com/properti/depok/hos9375718/,Depok,790 Juta,3,2,1,72,90
Rumah Mewah Strategis Pinggir Jalan Bebas Banjir,https://www.rumah123.com/properti/depok/hos9495151/,Depok,870 Juta,3,2,1,72,61
Rumah Dekat Tol Desari,https://www.rumah123.com/properti/depok/hos6370047/,Depok,690 Juta,3,2,1,64,65
Rumah Nyaman Paling Strategis di Beji Kukusan Depok,https://www.rumah123.com/properti/depok/hos9747577/,Depok,850 Juta,3,2,1,65,74
Rumah murah minimalis dibandung anti riba,https://www.rumah123.com/properti/bandung/hos9670868/,Bandung,180 Juta,2,1,1,36,50
Rumah murah di Bandung lebar jln utama 8 meter,https://www.rumah123.com/properti/bandung/hos9631097/,Bandung,252 Juta,2,1,1,70,50
Cluster Mewah Harga Bersahabat ,https://www.rumah123.com/properti/depok/hos9674074/,Depok,265 Juta,2,1,1,55,36
Rumah Murah Mezanin di Bandung,https://www.rumah123.com/properti/bandung/hos9897850/,Bandung,327 Juta,2,1,1,50,36
rumah bagus  minimalis,https://www.rumah123.com/properti/bandung/hos9557900/,Bandung,226 Juta,2,1,0,50,36
hunian minimalis berkelas premium,https://www.rumah123.com/properti/bandung/hos7948765/,Bandung,261 Juta,2,1,0,60,40
Rumah mewah minimalis dengan suasana yang masih asri,https://www.rumah123.com/properti/bandung/hos7385522/,Bandung,186 Juta,2,1,0,50,30
Rumah Murah minimalis di Bandung,https://www.rumah123.com/properti/bandung/hos7925097/,Bandung,350 Juta,3,2,0,84,50
Rumah mewah terbaik dan strategjs,https://www.rumah123.com/properti/bandung/hos9606555/,Bandung,986 Juta,3,2,1,280,110
Hunian terbaik harga irit,https://www.rumah123.com/properti/bandung/hos8630896/,Bandung,550 Juta,3,2,0,120,80
Rumah aman nan nyaman lokasi strategis,https://www.rumah123.com/properti/bandung/hos7088595/,Bandung,400 Juta,3,2,0,160,80
Rumah impian keluarga terbaik di Bandung bebas banjir,https://www.rumah123.com/properti/bandung/hos7099226/,Bandung,500 Juta,3,2,1,120,80
Rumah Siap Huni Di Kota Depok,https://www.rumah123.com/properti/depok/hos9603929/,Depok,330 Juta,2,1,1,66,45
Hunian aman dan nyaman di area Bintara jaya akses terdekat pondok kopi jakarta timur,https://www.rumah123.com/properti/bekasi/hos7885076/,Bekasi,900 Juta,3,2,1,75,108
