name,city,bedroom,bathroom,parkingarea,surfacearea,buildingarea,price
Bonus Furnished - Rumah 2 Lantai Murah Terdekat Stasiun Kereta Api Di Depok,8,3,2,1,72,89,791000000
Rumah 2 Lantai Murah Nyaman Terdekat Stasiun Kereta di Depok,8,3,2,1,72,88,793000000
Rumah 2 Lantai Termurah Terdekat Stasiun Kereta di Pancoran Mas Depok,8,3,2,1,72,90,790000000
Rumah Mewah Strategis Pinggir Jalan Bebas Banjir,8,3,2,1,72,61,870000000
Rumah Dekat Tol Desari,8,3,2,1,64,65,690000000
"Rumah Hitung Tanah Gerlong Tonggoh , Gegerkalong Bandung",8,2,1,0,77,50,505000000
Perumahan depok murah cantik cinangka river view type 77 akses dekat ke tol,8,3,2,1,65,74,850000000
Rumah Nyaman Paling Strategis di Beji Kukusan Depok,0,2,1,1,36,50,180000000
Rumah murah minimalis dibandung anti riba,0,2,1,1,70,50,252000000
Rumah murah di Bandung lebar jln utama 8 meter,8,2,1,1,55,36,265000000
Cluster Mewah Harga Bersahabat ,0,2,1,1,50,36,327000000
Rumah Murah Mezanin di Bandung,0,2,1,0,50,36,226000000
rumah bagus  minimalis,0,2,1,0,60,40,261000000
hunian minimalis berkelas premium,0,2,1,0,50,30,186000000
Rumah mewah minimalis dengan suasana yang masih asri,0,3,2,0,84,50,350000000
Rumah Murah minimalis di Bandung,0,3,2,0,120,80,550000000
Rumah mewah terbaik dan strategjs,0,3,2,0,160,80,400000000
Hunian terbaik harga irit,0,3,2,1,120,80,500000000
Rumah aman nan nyaman lokasi strategis,8,2,1,1,66,45,330000000
Rumah impian keluarga terbaik di Bandung bebas banjir,2,3,2,1,75,108,900000000
Rumah Siap Huni Di Kota Depok,0,3,3,0,195,150,1800000000
Hunian aman dan nyaman di area Bintara jaya akses terdekat pondok kopi jakarta timur,2,2,2,2,60,60,900000000
"Rumah di Jl. Penguin Raya, Kotak 11x18, Jarang ada, Harga wajar",2,2,1,0,73,45,585000000
Rumah Jatiasih Emerald Terrace Free Biaya & Subsidi DP,0,2,1,1,108,80,430000000
Rumah murah Siap huni di Bekasi timur bebas banjir,3,3,3,1,76,87,800000000
Hunian termurah di Bandung,2,2,1,1,144,100,1350000000
"Jual Rumah Dekat Stasiun Bojong Gede, Cibinong City Mall, Pemda Bogor, Stadion Pakansari, RSUD Cibinong",0,3,2,1,80,120,500000000
RUMAH MURAH dengan jalan lebar Row 15 di Harapan Indah 2 Bekasi,0,3,2,1,108,80,300000000
Hunian Mewah modern elit harga irit di bandung,0,2,1,1,84,60,346000000
Hunian Elit Harga Terjangkau kualitas Terbaik,0,2,1,1,36,50,198000000
Hunian mewah dengan harga terjangkau,0,2,1,0,30,50,211000000
Rumah minimalis asri dan strategis,0,2,1,0,70,50,250000000
Rumah minimalis modern Harga irit di bandung,0,2,1,0,70,50,240000000
