name,province,price,bedroom,bathroom,parkingarea,surfacearea,buildingarea,link
Bonus Furnished - Rumah 2 Lantai Murah Terdekat Stasiun Kereta Api Di Depok,Depok,791 Juta,3,2,1,72,89,https://www.rumah123.com/properti/depok/hos8408068/
Rumah 2 Lantai Murah Nyaman Terdekat Stasiun Kereta di Depok,Depok,793 Juta,3,2,1,72,88,https://www.rumah123.com/properti/depok/hos8988647/
Rumah 2 Lantai Termurah Terdekat Stasiun Kereta di Pancoran Mas Depok,Depok,790 Juta,3,2,1,72,90,https://www.rumah123.com/properti/depok/hos9375718/
Rumah Mewah Strategis Pinggir Jalan Bebas Banjir,Depok,870 Juta,3,2,1,72,61,https://www.rumah123.com/properti/depok/hos9495151/
Rumah Dekat Tol Desari,Depok,690 Juta,3,2,1,64,65,https://www.rumah123.com/properti/depok/hos6370047/
Rumah Nyaman Paling Strategis di Beji Kukusan Depok,Depok,850 Juta,3,2,1,65,74,https://www.rumah123.com/properti/depok/hos9747577/
Rumah murah minimalis dibandung anti riba,Bandung,180 Juta,2,1,1,36,50,https://www.rumah123.com/properti/bandung/hos9670868/
Rumah murah di Bandung lebar jln utama 8 meter,Bandung,252 Juta,2,1,1,70,50,https://www.rumah123.com/properti/bandung/hos9631097/
Cluster Mewah Harga Bersahabat ,Depok,265 Juta,2,1,1,55,36,https://www.rumah123.com/properti/depok/hos9674074/
Rumah Murah Mezanin di Bandung,Bandung,327 Juta,2,1,1,50,36,https://www.rumah123.com/properti/bandung/hos9897850/
rumah bagus  minimalis,Bandung,226 Juta,2,1,0,50,36,https://www.rumah123.com/properti/bandung/hos9557900/
hunian minimalis berkelas premium,Bandung,261 Juta,2,1,0,60,40,https://www.rumah123.com/properti/bandung/hos7948765/
Rumah mewah minimalis dengan suasana yang masih asri,Bandung,186 Juta,2,1,0,50,30,https://www.rumah123.com/properti/bandung/hos7385522/
Rumah Murah minimalis di Bandung,Bandung,350 Juta,3,2,0,84,50,https://www.rumah123.com/properti/bandung/hos7925097/
Rumah mewah terbaik dan strategjs,Bandung,986 Juta,3,2,1,280,110,https://www.rumah123.com/properti/bandung/hos9606555/
Hunian terbaik harga irit,Bandung,550 Juta,3,2,0,120,80,https://www.rumah123.com/properti/bandung/hos8630896/
Rumah aman nan nyaman lokasi strategis,Bandung,400 Juta,3,2,0,160,80,https://www.rumah123.com/properti/bandung/hos7088595/
Rumah impian keluarga terbaik di Bandung bebas banjir,Bandung,500 Juta,3,2,1,120,80,https://www.rumah123.com/properti/bandung/hos7099226/
Rumah Siap Huni Di Kota Depok,Depok,330 Juta,2,1,1,66,45,https://www.rumah123.com/properti/depok/hos9603929/
Hunian aman dan nyaman di area Bintara jaya akses terdekat pondok kopi jakarta timur,Bekasi,900 Juta,3,2,1,75,108,https://www.rumah123.com/properti/bekasi/hos7885076/
"Rumah di Jl. Penguin Raya, Kotak 11x18, Jarang ada, Harga wajar",Bandung,"1,8 Miliar",3,3,0,195,150,https://www.rumah123.com/properti/bandung/hos6783043/
Rumah Jatiasih Emerald Terrace Free Biaya & Subsidi DP,Bekasi,900 Juta,2,2,2,60,60,https://www.rumah123.com/properti/bekasi/hos9732594/
Rumah murah Siap huni di Bekasi timur bebas banjir,Bekasi,585 Juta,2,1,0,73,45,https://www.rumah123.com/properti/bekasi/hos9360580/
Hunian termurah di Bandung,Bandung,430 Juta,2,1,1,108,80,https://www.rumah123.com/properti/bandung/hos9625736/
"Jual Rumah Dekat Stasiun Bojong Gede, Cibinong City Mall, Pemda Bogor, Stadion Pakansari, RSUD Cibinong",Bogor,800 Juta,3,3,1,76,87,https://www.rumah123.com/properti/bogor/hos9697328/
Rumah minimalis asri dan strategis,Bandung,346 Juta,2,1,1,84,60,https://www.rumah123.com/properti/bandung/hos7728074/
Rumah minimalis modern Harga irit di bandung,Bandung,198 Juta,2,1,1,36,50,https://www.rumah123.com/properti/bandung/hos9502953/
Rumah Minimalis Modern full spesifikasi,Bandung,211 Juta,2,1,0,30,50,https://www.rumah123.com/properti/bandung/hos8753413/
Rumah Cantik Dan Minimalis,Bandung,240 Juta,2,1,0,70,50,https://www.rumah123.com/properti/bandung/hos7399214/
Rumah cantik kualitas premium,Bandung,170 Juta,2,1,0,50,35,https://www.rumah123.com/properti/bandung/hos7446647/
Rumah murah dekat dengan  kawasan perbelanjaan,Bandung,400 Juta,2,1,0,100,50,https://www.rumah123.com/properti/bandung/hos8863591/
Rumah cantik,Bandung,300 Juta,2,1,0,70,50,https://www.rumah123.com/properti/bandung/hos8217606/
Rumah Rancamaya Bogor Golf,Bogor,729 Juta,2,1,0,84,48,https://www.rumah123.com/properti/bogor/hos6217149/
Rumah komersial siap huni dan siap bangun terbaik di sayap kota Bandung,Bandung,261 Juta,2,1,0,120,80,https://www.rumah123.com/properti/bandung/hos7868768/
"Rumah komersial inden free desain di sayap kota Bandung, minimalis moderen",Bandung,511 Juta,3,2,0,120,80,https://www.rumah123.com/properti/bandung/hos8472106/
Rumah mewah harga murah lokasi strategis bebas banjir,Bandung,475 Juta,2,1,1,120,70,https://www.rumah123.com/properti/bandung/hos9528326/
Rumah Mewah harga murah lokasi starategis Di sayap kopo katapang,Cimahi,315 Juta,2,1,0,72,50,https://www.rumah123.com/properti/cimahi/hos9587828/
rumah minimalis impian keluarga,Bandung,181 Juta,2,1,0,50,36,https://www.rumah123.com/properti/bandung/hos7879713/
hunian minimalis berkelas premium,Bandung,222 Juta,2,1,0,70,50,https://www.rumah123.com/properti/bandung/hos7385350/
rumah hunian minimalis dengan konsep modern,Bandung,260 Juta,2,1,0,72,50,https://www.rumah123.com/properti/bandung/hos8357405/
Rumah mewah impian keluarga 3 kt 2 km lebar jln utama 8 meter,Bandung,450 Juta,3,2,0,120,80,https://www.rumah123.com/properti/bandung/hos8194809/
Rumah mewah minimalis dengan suwasan masih asri,Bandung,226 Juta,2,1,0,36,50,https://www.rumah123.com/properti/bandung/hos7858533/
Rumah minimalis bagus desain,Bandung,208 Juta,2,1,0,60,40,https://www.rumah123.com/properti/bandung/hos7080219/
Rumah syariah idaman keluarga,Bandung,172 Juta,2,1,0,50,36,https://www.rumah123.com/properti/bandung/hos8357438/
rumah idealis strategis (No Kpr),Bandung,450 Juta,3,2,0,120,80,https://www.rumah123.com/properti/bandung/hos8579321/
Rumah Baru 2 Lantai Siap huni,Bandung,"2,5 Miliar",3,3,0,160,250,https://www.rumah123.com/properti/bandung/hos9802726/
"Rumah baru siap huni,bebas banjir,lokasi strategis &amp; Mutiara Cibinong",Bogor,679 Juta,3,2,0,105,70,https://www.rumah123.com/properti/bogor/hos4232661/
Rumah Murah Di Depok Dekat Toll DESARI,Depok,"1,03 Miliar",3,2,0,83,90,https://www.rumah123.com/properti/depok/hos9395154/
Rumah Murah Minimalis MUTIARA CITAYAM Dekat Stasiun Citayam,Depok,400 Juta,2,1,0,65,40,https://www.rumah123.com/properti/depok/hos6830761/
Rosewood Golf Residence Summarecon Bogor,Bogor,"3,03 Miliar",4,3,0,216,297,https://www.rumah123.com/properti/bogor/hos9591333/
Rumah murah Bandung dekat toll,Bandung,465 Juta,3,2,0,120,80,https://www.rumah123.com/properti/bandung/hos8615773/
Rumah baru dalam cluster paling dekat menuju Margonda dan stasiun Depok,Depok,800 Juta,3,2,1,68,66,https://www.rumah123.com/properti/depok/hos9741651/
Rumah Bagus Cluster Vassa Residence Lippo Cikarang,Cikarang,5 Miliar,4,3,0,660,336,https://www.rumah123.com/properti/cikarang/hos9738601/
SADEWA CLUSTER hunian eksklusif dengan kualitas bangunan yang kokoh dekat dengan 2 Tol utama,Depok,840 Juta,2,1,1,103,70,https://www.rumah123.com/properti/depok/hos6291557/
Rumah Mewah & Murah dekat dgn Toll,Depok,"1,65 Miliar",3,2,1,106,104,https://www.rumah123.com/properti/depok/hos8991852/
Murah Siap Nego Taman Laguna Cibubur LT 207 LB 250,Bekasi,"2,2 Miliar",5,3,0,207,250,https://www.rumah123.com/properti/bekasi/hos9649254/
Dijual Rumah Siap Huni Di Taman Kopo Indah Bandung,Bandung,975 Juta,3,3,0,70,130,https://www.rumah123.com/properti/bandung/hos9775211/
Rumah Cluster Siap Huni Baru Jadi Sebelah Citra Grand Cibubur Akses Tol Langsung Cash/KPR @ The Address Cibubur,Depok,650 Juta,2,1,0,90,45,https://www.rumah123.com/properti/depok/hos9333707/
RUMAH PALM @ Summarecon Bekasi tipe 7 BASIC TERMURAH JALAN KAKI ke Swimming Pool CLUBHOUSE CASH/KPR,Bekasi,"1,69 Miliar",2,0,0,119,83,https://www.rumah123.com/properti/bekasi/hos8272427/
Rumah American Style 2 Lantai di Pondok Gede Bekasi Kota,Bekasi,835 Juta,3,3,2,70,95,https://www.rumah123.com/properti/bekasi/hos9680160/
SEGERA MILIKI RUMAH DI KOMPLEK TERKENAL PHARMINDO - CIJERAH BANDUNG,Bandung,950 Juta,2,1,0,120,60,https://www.rumah123.com/properti/bandung/hos9678041/
"Hunian Cluster Strategis, Mewah Berkualitas, Legalitas Aman Dan Lengkap",Depok,280 Juta,2,1,0,55,36,https://www.rumah123.com/properti/depok/hos9676361/
Townhouse 2 lantai Siap huni 775juta di Jatiasih 300m ke Jl raya wibawa Mutkti II,Bekasi,775 Juta,3,2,1,70,90,https://www.rumah123.com/properti/bekasi/hos9233087/
Kota Wisata Cibubur Cluster Mississippi Free DP Free KPR Free Kanopi,Bogor,"1,55 Miliar",3,3,0,121,84,https://www.rumah123.com/properti/bekasi/hos9235632/
Rumah Yang Pas Bagi Kaum Milenial,Depok,502 Juta,2,1,1,85,38,https://www.rumah123.com/properti/depok/hos7859018/
*Rumah Exclusive di Kota Bogor Bernuansa Perbukitan*,Bogor,"1,54 Miliar",3,3,2,126,88,https://www.rumah123.com/properti/bogor/hos9624701/
"Rumah 2 Lantai Dekat Jalan Raya GDC Depok, 5 Menit Alun-Alun, Akses Tol, Stasiun KRL",Depok,850 Juta,3,2,1,70,68,https://www.rumah123.com/properti/depok/hos9671070/
Rumah Sejuk Scandinavia Cikutra akses dekat Gedung Sate Bandung,Bandung,"1,8 Miliar",4,2,0,184,94,https://www.rumah123.com/properti/bandung/hos2955468/
"Rumah Cluster Nyaman Di Tengah Kota Bekasi, Bekasi Barat! Nego Sampai Deal",Bekasi,950 Juta,3,3,0,60,78,https://www.rumah123.com/properti/bekasi/hos9533718/
Rumah baru dengan 4 kamar tidur tanahnya luas dekat stasiun dan tol Depok,Depok,920 Juta,4,2,2,85,95,https://www.rumah123.com/properti/depok/hos9148478/
Rumah Bandung Private Pool Strategis ,Bandung,"1,75 Miliar",4,3,2,111,200,https://www.rumah123.com/properti/bandung/hos9760828/
Rumah Nyaman Siap Huni Lokasi Pinggir Jalan Raya - 5 Menit Ke Tol Cijago dan Desari,Depok,"1,27 Miliar",3,3,1,85,110,https://www.rumah123.com/properti/depok/hos8771532/
Rumah NYAMAN Gaya Millenial Tengah Kota Bandung,Bandung,"2,3 Miliar",3,2,2,137,170,https://www.rumah123.com/properti/bandung/hos9150839/
rumah Minimalis siap huni dan nyaman di sayap bandung,Bandung,200 Juta,2,1,0,60,40,https://www.rumah123.com/properti/bandung/hos9045658/
Rumah minimalis akses pruis 2 mobil dekat GDC dan stasiun Depok,Depok,585 Juta,2,1,1,75,45,https://www.rumah123.com/properti/depok/hos9450455/
"Jual rumah di Bogor, Perumahan Elite dengan lokasi strategis - Nego sampai DEAL",Bogor,"1,7 Miliar",2,2,1,84,96,https://www.rumah123.com/properti/bogor/hos8992672/
Rumah Split Level SIAP HUNI dalam Perumahan Panorama Bukit Cinere Dekat Tol Andara Di CINERE Depok,Depok,"1,59 Miliar",4,3,1,144,130,https://www.rumah123.com/properti/depok/hos9712543/
